trial,fmg_samples,left_insole_samples,right_insole_samples,left_contacts,right_contacts,left_cycles,right_cycles,status
1,2432,2119,2143,11,10,10,9,OK
2,2109,1819,1839,10,11,9,10,OK
3,2005,1735,1756,11,11,10,10,OK
4,2293,1980,2000,10,11,9,10,OK
5,2011,1761,1782,11,10,10,9,OK
6,2023,1739,1758,10,11,9,10,OK
7,1922,1639,1682,11,10,10,9,OK
8,2000,1753,1773,10,11,9,10,OK
9,1969,1744,1763,11,10,10,9,OK
10,2045,1783,1804,10,11,9,10,OK
11,2191,1934,1957,11,10,10,9,OK
12,2042,1842,1864,12,11,11,10,OK
13,1809,1668,1690,11,10,10,9,OK
14,1952,1703,1725,10,11,9,10,OK
15,1982,1801,1826,12,10,11,9,OK
16,1775,1664,1685,10,11,9,10,OK
17,2004,1620,1642,11,10,10,9,OK
18,1984,1748,1772,11,11,10,10,OK
19,2145,1711,1732,11,10,10,9,OK
20,1906,1939,1965,11,11,10,10,OK
21,1950,1640,1661,11,10,10,9,OK
