trial,fmg_samples,left_insole_samples,right_insole_samples,left_contacts,right_contacts,left_cycles,right_cycles,status
1,2192,1856,1868,10,11,9,10,OK
2,2162,1835,1844,11,10,10,9,OK
3,2343,1981,1997,10,12,9,11,OK
4,2220,1884,1895,11,10,10,9,OK
5,2136,1810,1822,10,11,9,10,OK
6,2193,1847,1871,11,12,10,11,OK
7,2289,1939,1954,10,12,9,11,OK
8,2405,2037,2052,11,11,10,10,OK
9,2164,1835,1847,10,12,9,11,OK
10,2369,2015,2027,11,12,10,11,OK
11,2310,1961,1971,10,12,9,11,OK
12,2251,1938,1948,11,13,10,12,OK
13,2337,1976,1987,10,11,9,10,OK
14,2242,1896,1905,11,11,10,10,OK
15,2241,1895,1904,10,12,9,11,OK
16,2256,1912,1921,11,11,10,10,OK
17,2230,1888,1897,10,12,9,11,OK
18,2325,1968,1975,11,11,10,10,OK
19,2747,2328,2329,10,12,9,11,OK
20,2210,1878,1875,11,11,10,10,OK
