cycle_id,subject,population,block,trial,side,cycle_in_trial,class_label,fmg_start_sample,fmg_end_sample_exclusive,raw_samples,duration_s,contact_threshold
Sub01_A_T01_L_C01,Sub01_A,amputee,1,1,left,1,gait_initiation,3336,3501,165,1.6500000000000057,914.4141
Sub01_A_T01_L_C02,Sub01_A,amputee,1,1,left,2,unassigned_steady_or_transition,3501,3663,162,1.6200000000000045,914.4141
Sub01_A_T01_L_C03,Sub01_A,amputee,1,1,left,3,unassigned_steady_or_transition,3663,3827,164,1.6400000000000148,914.4141
Sub01_A_T01_L_C04,Sub01_A,amputee,1,1,left,4,unassigned_steady_or_transition,3827,3995,168,1.6800000000000068,914.4141
Sub01_A_T01_L_C05,Sub01_A,amputee,1,1,left,5,unassigned_steady_or_transition,3995,4183,188,1.8800000000000239,914.4141
Sub01_A_T01_L_C06,Sub01_A,amputee,1,1,left,6,unassigned_steady_or_transition,4183,4351,168,1.6899999999999977,914.4141
Sub01_A_T01_L_C07,Sub01_A,amputee,1,1,left,7,unassigned_steady_or_transition,4351,4526,175,1.75,914.4141
Sub01_A_T01_L_C08,Sub01_A,amputee,1,1,left,8,unassigned_steady_or_transition,4526,4688,162,1.6099999999999852,914.4141
Sub01_A_T01_L_C09,Sub01_A,amputee,1,1,left,9,unassigned_steady_or_transition,4688,4857,169,1.6899999999999977,914.4141
Sub01_A_T01_L_C10,Sub01_A,amputee,1,1,left,10,gait_termination,4857,5039,182,1.8199999999999932,914.4141
Sub01_A_T01_R_C01,Sub01_A,amputee,1,1,right,1,gait_initiation,3469,3633,164,1.6399999999999864,-295.95500000000004
Sub01_A_T01_R_C02,Sub01_A,amputee,1,1,right,2,unassigned_steady_or_transition,3633,3796,163,1.6299999999999955,-295.95500000000004
Sub01_A_T01_R_C03,Sub01_A,amputee,1,1,right,3,unassigned_steady_or_transition,3796,3962,166,1.6699999999999875,-295.95500000000004
Sub01_A_T01_R_C04,Sub01_A,amputee,1,1,right,4,unassigned_steady_or_transition,3962,4148,186,1.8599999999999852,-295.95500000000004
Sub01_A_T01_R_C05,Sub01_A,amputee,1,1,right,5,unassigned_steady_or_transition,4148,4328,180,1.799999999999983,-295.95500000000004
Sub01_A_T01_R_C06,Sub01_A,amputee,1,1,right,6,unassigned_steady_or_transition,4328,4503,175,1.75,-295.95500000000004
Sub01_A_T01_R_C07,Sub01_A,amputee,1,1,right,7,unassigned_steady_or_transition,4503,4670,167,1.6699999999999875,-295.95500000000004
Sub01_A_T01_R_C08,Sub01_A,amputee,1,1,right,8,unassigned_steady_or_transition,4670,4832,162,1.6199999999999761,-295.95500000000004
Sub01_A_T01_R_C09,Sub01_A,amputee,1,1,right,9,gait_termination,4832,5017,185,1.8499999999999943,-295.95500000000004
Sub01_A_T02_L_C01,Sub01_A,amputee,1,2,left,1,gait_initiation,6861,7005,144,1.4399999999999977,908.2093500000001
Sub01_A_T02_L_C02,Sub01_A,amputee,1,2,left,2,unassigned_steady_or_transition,7005,7161,156,1.5500000000000114,908.2093500000001
Sub01_A_T02_L_C03,Sub01_A,amputee,1,2,left,3,unassigned_steady_or_transition,7161,7329,168,1.670000000000016,908.2093500000001
Sub01_A_T02_L_C04,Sub01_A,amputee,1,2,left,4,unassigned_steady_or_transition,7329,7499,170,1.6999999999999886,908.2093500000001
Sub01_A_T02_L_C05,Sub01_A,amputee,1,2,left,5,unassigned_steady_or_transition,7499,7683,184,1.8400000000000034,908.2093500000001
Sub01_A_T02_L_C06,Sub01_A,amputee,1,2,left,6,unassigned_steady_or_transition,7683,7865,182,1.8199999999999932,908.2093500000001
Sub01_A_T02_L_C07,Sub01_A,amputee,1,2,left,7,unassigned_steady_or_transition,7865,8051,186,1.8700000000000045,908.2093500000001
Sub01_A_T02_L_C08,Sub01_A,amputee,1,2,left,8,unassigned_steady_or_transition,8051,8205,154,1.539999999999992,908.2093500000001
Sub01_A_T02_L_C09,Sub01_A,amputee,1,2,left,9,unassigned_steady_or_transition,8205,8365,160,1.6100000000000136,908.2093500000001
Sub01_A_T02_L_C10,Sub01_A,amputee,1,2,left,10,gait_termination,8365,8525,160,1.5999999999999943,908.2093500000001
Sub01_A_T02_R_C01,Sub01_A,amputee,1,2,right,1,gait_initiation,6835,6987,152,1.5200000000000102,-271.7
Sub01_A_T02_R_C02,Sub01_A,amputee,1,2,right,2,unassigned_steady_or_transition,6987,7142,155,1.539999999999992,-271.7
Sub01_A_T02_R_C03,Sub01_A,amputee,1,2,right,3,unassigned_steady_or_transition,7142,7313,171,1.710000000000008,-271.7
Sub01_A_T02_R_C04,Sub01_A,amputee,1,2,right,4,unassigned_steady_or_transition,7313,7479,166,1.6599999999999966,-271.7
Sub01_A_T02_R_C05,Sub01_A,amputee,1,2,right,5,unassigned_steady_or_transition,7479,7647,168,1.6800000000000068,-271.7
Sub01_A_T02_R_C06,Sub01_A,amputee,1,2,right,6,unassigned_steady_or_transition,7647,7832,185,1.8500000000000227,-271.7
Sub01_A_T02_R_C07,Sub01_A,amputee,1,2,right,7,unassigned_steady_or_transition,7832,8021,189,1.9000000000000057,-271.7
Sub01_A_T02_R_C08,Sub01_A,amputee,1,2,right,8,unassigned_steady_or_transition,8021,8177,156,1.5600000000000023,-271.7
Sub01_A_T02_R_C09,Sub01_A,amputee,1,2,right,9,unassigned_steady_or_transition,8177,8336,159,1.5900000000000034,-271.7
Sub01_A_T02_R_C10,Sub01_A,amputee,1,2,right,10,gait_termination,8336,8501,165,1.660000000000025,-271.7
Sub01_A_T03_L_C01,Sub01_A,amputee,1,3,left,1,gait_initiation,10127,10291,164,1.6399999999999864,932.84595
Sub01_A_T03_L_C02,Sub01_A,amputee,1,3,left,2,unassigned_steady_or_transition,10291,10456,165,1.6499999999999773,932.84595
Sub01_A_T03_L_C03,Sub01_A,amputee,1,3,left,3,unassigned_steady_or_transition,10456,10631,175,1.75,932.84595
Sub01_A_T03_L_C04,Sub01_A,amputee,1,3,left,4,unassigned_steady_or_transition,10631,10817,186,1.8699999999999761,932.84595
Sub01_A_T03_L_C05,Sub01_A,amputee,1,3,left,5,unassigned_steady_or_transition,10817,10996,179,1.7899999999999636,932.84595
Sub01_A_T03_L_C06,Sub01_A,amputee,1,3,left,6,unassigned_steady_or_transition,10996,11177,181,1.8100000000000023,932.84595
Sub01_A_T03_L_C07,Sub01_A,amputee,1,3,left,7,unassigned_steady_or_transition,11177,11345,168,1.6800000000000068,932.84595
Sub01_A_T03_L_C08,Sub01_A,amputee,1,3,left,8,unassigned_steady_or_transition,11345,11508,163,1.6299999999999955,932.84595
Sub01_A_T03_L_C09,Sub01_A,amputee,1,3,left,9,unassigned_steady_or_transition,11508,11672,164,1.6399999999999864,932.84595
Sub01_A_T03_L_C10,Sub01_A,amputee,1,3,left,10,gait_termination,11672,11846,174,1.740000000000009,932.84595
Sub01_A_T03_R_C01,Sub01_A,amputee,1,3,right,1,gait_initiation,10258,10425,167,1.6699999999999875,-291.71999999999997
Sub01_A_T03_R_C02,Sub01_A,amputee,1,3,right,2,unassigned_steady_or_transition,10425,10597,172,1.7199999999999989,-291.71999999999997
Sub01_A_T03_R_C03,Sub01_A,amputee,1,3,right,3,unassigned_steady_or_transition,10597,10786,189,1.8899999999999864,-291.71999999999997
Sub01_A_T03_R_C04,Sub01_A,amputee,1,3,right,4,unassigned_steady_or_transition,10786,10966,180,1.7899999999999636,-291.71999999999997
Sub01_A_T03_R_C05,Sub01_A,amputee,1,3,right,5,unassigned_steady_or_transition,10966,11149,183,1.829999999999984,-291.71999999999997
Sub01_A_T03_R_C06,Sub01_A,amputee,1,3,right,6,unassigned_steady_or_transition,11149,11326,177,1.7699999999999818,-291.71999999999997
Sub01_A_T03_R_C07,Sub01_A,amputee,1,3,right,7,unassigned_steady_or_transition,11326,11488,162,1.6200000000000045,-291.71999999999997
Sub01_A_T03_R_C08,Sub01_A,amputee,1,3,right,8,unassigned_steady_or_transition,11488,11650,162,1.6199999999999477,-291.71999999999997
Sub01_A_T03_R_C09,Sub01_A,amputee,1,3,right,9,gait_termination,11650,11824,174,1.7399999999999523,-291.71999999999997
Sub01_A_T04_L_C01,Sub01_A,amputee,1,4,left,1,gait_initiation,13471,13635,164,1.6299999999999955,927.6476500000001
Sub01_A_T04_L_C02,Sub01_A,amputee,1,4,left,2,unassigned_steady_or_transition,13635,13785,150,1.509999999999991,927.6476500000001
Sub01_A_T04_L_C03,Sub01_A,amputee,1,4,left,3,unassigned_steady_or_transition,13785,13955,170,1.6999999999999886,927.6476500000001
Sub01_A_T04_L_C04,Sub01_A,amputee,1,4,left,4,unassigned_steady_or_transition,13955,14123,168,1.6800000000000068,927.6476500000001
Sub01_A_T04_L_C05,Sub01_A,amputee,1,4,left,5,unassigned_steady_or_transition,14123,14300,177,1.7699999999999818,927.6476500000001
Sub01_A_T04_L_C06,Sub01_A,amputee,1,4,left,6,unassigned_steady_or_transition,14300,14489,189,1.8899999999999864,927.6476500000001
Sub01_A_T04_L_C07,Sub01_A,amputee,1,4,left,7,unassigned_steady_or_transition,14489,14668,179,1.7900000000000205,927.6476500000001
Sub01_A_T04_L_C08,Sub01_A,amputee,1,4,left,8,unassigned_steady_or_transition,14668,14829,161,1.6100000000000136,927.6476500000001
Sub01_A_T04_L_C09,Sub01_A,amputee,1,4,left,9,unassigned_steady_or_transition,14829,14983,154,1.5399999999999636,927.6476500000001
Sub01_A_T04_L_C10,Sub01_A,amputee,1,4,left,10,gait_termination,14983,15151,168,1.67999999999995,927.6476500000001
Sub01_A_T04_R_C01,Sub01_A,amputee,1,4,right,1,gait_initiation,13450,13613,163,1.6299999999999955,-294.635
Sub01_A_T04_R_C02,Sub01_A,amputee,1,4,right,2,unassigned_steady_or_transition,13613,13767,154,1.5399999999999636,-294.635
Sub01_A_T04_R_C03,Sub01_A,amputee,1,4,right,3,unassigned_steady_or_transition,13767,13935,168,1.67999999999995,-294.635
Sub01_A_T04_R_C04,Sub01_A,amputee,1,4,right,4,unassigned_steady_or_transition,13935,14100,165,1.6599999999999682,-294.635
Sub01_A_T04_R_C05,Sub01_A,amputee,1,4,right,5,unassigned_steady_or_transition,14100,14268,168,1.6800000000000068,-294.635
Sub01_A_T04_R_C06,Sub01_A,amputee,1,4,right,6,unassigned_steady_or_transition,14268,14455,187,1.8700000000000045,-294.635
Sub01_A_T04_R_C07,Sub01_A,amputee,1,4,right,7,unassigned_steady_or_transition,14455,14641,186,1.8600000000000136,-294.635
Sub01_A_T04_R_C08,Sub01_A,amputee,1,4,right,8,unassigned_steady_or_transition,14641,14803,162,1.6199999999999477,-294.635
Sub01_A_T04_R_C09,Sub01_A,amputee,1,4,right,9,unassigned_steady_or_transition,14803,14952,149,1.4899999999999523,-294.635
Sub01_A_T04_R_C10,Sub01_A,amputee,1,4,right,10,gait_termination,14952,15124,172,1.7199999999999704,-294.635
Sub01_A_T05_L_C01,Sub01_A,amputee,1,5,left,1,gait_initiation,16365,16528,163,1.6300000000000523,947.8574000000001
Sub01_A_T05_L_C02,Sub01_A,amputee,1,5,left,2,unassigned_steady_or_transition,16528,16692,164,1.6399999999999864,947.8574000000001
Sub01_A_T05_L_C03,Sub01_A,amputee,1,5,left,3,unassigned_steady_or_transition,16692,16864,172,1.7200000000000273,947.8574000000001
Sub01_A_T05_L_C04,Sub01_A,amputee,1,5,left,4,unassigned_steady_or_transition,16864,17035,171,1.6999999999999886,947.8574000000001
Sub01_A_T05_L_C05,Sub01_A,amputee,1,5,left,5,unassigned_steady_or_transition,17035,17201,166,1.660000000000025,947.8574000000001
Sub01_A_T05_L_C06,Sub01_A,amputee,1,5,left,6,unassigned_steady_or_transition,17201,17369,168,1.6800000000000068,947.8574000000001
